r,z,pressure,ne
61.34134598,75.47053025,2.6664,2.20E+17
61.36363636,104.9672186,2.6664,2.53E+16
61.36363636,106.0316402,2.6664,1.72E+16
61.36363636,106.7919414,2.6664,1.13E+16
61.36363636,107.3350136,2.6664,7.23E+15
61.36363636,107.7229223,2.6664,4.26E+15
61.36363636,108,2.6664,2.53E+15
61.40278569,101.1213584,2.6664,5.46E+16
63.06806855,48.64569405,2.6664,2.60E+17
63.09483866,22.1783002,2.6664,1.50E+17
63.27471022,37.88826615,2.6664,2.30E+17
63.44406218,10.3703127,2.6664,7.21E+16
64.10030999,59.31407839,2.6664,2.64E+17
64.2850982,85.24349373,2.6664,1.66E+17
64.46415767,69.68966231,2.6664,2.42E+17
64.71379415,97.38457537,2.6664,8.24E+16
66.60394408,43.15038036,2.6664,2.46E+17
66.74154307,31.13305231,2.6664,1.99E+17
66.7660673,15.46432013,2.6664,1.06E+17
66.7800854,6.947241476,2.6664,4.80E+16
66.78571429,0,2.6664,6.60E+14
66.78571429,0.274582436,2.6664,1.75E+15
66.78571429,0.658997846,2.6664,4.19E+15
66.78571429,1.19717942,2.6664,7.84E+15
66.78571429,1.950633623,2.6664,1.31E+16
66.78571429,3.005469508,2.6664,2.05E+16
67.08456833,53.9490859,2.6664,2.63E+17
67.27836309,103.3972229,2.6664,3.70E+16
67.64506664,4.575852131,2.6664,3.14E+16
67.73432165,64.43236214,2.6664,2.54E+17
67.93103302,76.44319003,2.6664,2.13E+17
68.05367927,92.58777632,2.6664,1.17E+17
68.18181818,104.9659957,2.6664,2.51E+16
68.18181818,106.0308465,2.6664,1.70E+16
68.18181818,106.7914542,2.6664,1.13E+16
68.18181818,107.3347454,2.6664,7.19E+15
68.18181818,107.7228106,2.6664,4.24E+15
68.18181818,108,2.6664,2.52E+15
68.21150092,100.9791563,2.6664,5.52E+16
70.02888847,37.82570064,2.6664,2.27E+17
70.09503997,10.30191607,2.6664,7.06E+16
70.27738063,48.51511903,2.6664,2.56E+17
70.39817555,21.96555353,2.6664,1.46E+17
70.87035043,59.14028477,2.6664,2.60E+17
71.28004686,69.6625854,2.6664,2.39E+17
71.40460423,85.62152777,2.6664,1.62E+17
71.54321258,96.97952895,2.6664,8.44E+16
73.45406805,6.802464109,2.6664,4.62E+16
73.46114622,31.15715269,2.6664,1.95E+17
73.46428571,0,2.6664,6.64E+14
73.46428571,0.27442577,2.6664,1.74E+15
73.46428571,0.658621847,2.6664,4.15E+15
73.46428571,1.196496355,2.6664,7.73E+15
73.46428571,1.949520667,2.6664,1.29E+16
73.46428571,3.003754703,2.6664,2.02E+16
73.4649091,15.13319641,2.6664,1.02E+17
73.57269683,43.16496716,2.6664,2.42E+17
73.96795361,103.3500437,2.6664,3.69E+16
74.00944704,53.80463405,2.6664,2.59E+17
74.21137952,4.495743195,2.6664,3.04E+16
74.52950157,64.34685001,2.6664,2.51E+17
74.78597241,76.21217864,2.6664,2.12E+17
74.92065195,92.38720645,2.6664,1.16E+17
74.98610215,100.9610184,2.6664,5.47E+16
75,104.9657141,2.6664,2.48E+16
75,106.0306637,2.6664,1.68E+16
75,106.7913421,2.6664,1.11E+16
75,107.3346837,2.6664,7.11E+15
75,107.7227849,2.6664,4.21E+15
75,108,2.6664,2.51E+15
76.77131271,10.14316951,2.6664,6.82E+16
76.87385396,37.86611977,2.6664,2.23E+17
77.05729929,22.19542994,2.6664,1.45E+17
77.21618527,48.46417839,2.6664,2.52E+17
77.71444134,59.03776247,2.6664,2.56E+17
78.11208909,69.613719,2.6664,2.36E+17
78.37145652,97.26580039,2.6664,8.12E+16
78.38954993,85.50211392,2.6664,1.60E+17
80.10454612,15.15116751,2.6664,1.00E+17
80.12840584,6.804246336,2.6664,4.53E+16
80.14285714,0,2.6664,6.68E+14
80.14285714,0.274341574,2.6664,1.73E+15
80.14285714,0.658419778,2.6664,4.09E+15
80.14285714,1.196129263,2.6664,7.60E+15
80.14285714,1.948922543,2.6664,1.27E+16
80.14285714,3.002833134,2.6664,1.98E+16
80.20210719,31.44334166,2.6664,1.93E+17
80.4357166,43.16638989,2.6664,2.37E+17
80.88237365,53.73399465,2.6664,2.55E+17
80.90997537,103.4421137,2.6664,3.57E+16
81.12268116,4.530539603,2.6664,3.00E+16
81.3597866,64.28289956,2.6664,2.47E+17
81.49495308,76.26536008,2.6664,2.08E+17
81.75994115,92.57737566,2.6664,1.13E+17
81.80678723,101.1152683,2.6664,5.27E+16
81.81818182,104.9656896,2.6664,2.44E+16
81.81818182,106.0306478,2.6664,1.66E+16
81.81818182,106.7913323,2.6664,1.10E+16
81.81818182,107.3346783,2.6664,7.01E+15
81.81818182,107.7227826,2.6664,4.15E+15
81.81818182,108,2.6664,2.48E+15
83.45395153,10.21710069,2.6664,6.71E+16
83.50507366,22.29087389,2.6664,1.42E+17
83.65590015,37.88664921,2.6664,2.18E+17
84.06541966,48.43779021,2.6664,2.46E+17
84.55215795,58.98049991,2.6664,2.51E+17
84.94191462,69.57790504,2.6664,2.31E+17
85.09002372,85.5273497,2.6664,1.57E+17
85.19950076,97.70456169,2.6664,7.66E+16
86.78878199,15.24848128,2.6664,9.81E+16
86.80665385,6.87472935,2.6664,4.46E+16
86.82142857,0,2.6664,6.71E+14
86.82142857,0.274300984,2.6664,1.71E+15
86.82142857,0.65832236,2.6664,4.01E+15
86.82142857,1.195952288,2.6664,7.42E+15
86.82142857,1.948634187,2.6664,1.24E+16
86.82142857,3.002388845,2.6664,1.93E+16
87.10433696,31.30191336,2.6664,1.87E+17
87.23400238,43.16854148,2.6664,2.32E+17
87.68879245,4.505742863,2.6664,2.90E+16
87.71382655,53.69689174,2.6664,2.48E+17
87.83803089,103.4478157,2.6664,3.49E+16
88.18239083,64.24619336,2.6664,2.41E+17
88.3214691,76.1177373,2.6664,2.04E+17
88.55958457,92.71813975,2.6664,1.10E+17
