r,z,pressure,ne
193.4204,75.88668,1.3332,1.16E+16
193.5978,82.2471,1.3332,9.79E+15
187.3965,68.16705,1.3332,1.61E+16
188.4028,73.59918,1.3332,1.44E+16
182.1131,65.44846,1.3332,1.94E+16
181.6749,59.70714,1.3332,2.04E+16
193.6572,94.7977,1.3332,5.49E+15
190.5371,89.17015,1.3332,8.42E+15
176.5162,57.0057,1.3332,2.36E+16
163.5998,22.74464,1.3332,1.87E+16
175.6209,51.14033,1.3332,2.40E+16
174.6571,44.36232,1.3332,2.35E+16
170.3866,38.24713,1.3332,2.41E+16
167.4122,31.85366,1.3332,2.27E+16
157.4217,22.60268,1.3332,2.10E+16
153.8041,16.39079,1.3332,1.67E+16
150.3394,10.91192,1.3332,1.21E+16
146.8611,7.090622,1.3332,8.46E+15
141.1095,4.576187,1.3332,6.05E+15
140.25,2.996646,1.3332,4.10E+15
224.3378,96.11832,1.3332,5.37E+14
190.4255,100.5294,1.3332,3.67E+15
189.6029,103.0935,1.3332,2.58E+15
183.4971,104.9695,1.3332,2.08E+15
187.6161,81.55546,1.3332,1.23E+16
182.7813,70.97925,1.3332,1.78E+16
183.4052,76.55636,1.3332,1.58E+16
178.578,68.6193,1.3332,2.06E+16
176.3488,63.38005,1.3332,2.31E+16
186.914,97.09571,1.3332,5.80E+15
183.8393,89.8708,1.3332,1.01E+16
171.0511,54.97302,1.3332,2.70E+16
172.1896,59.64244,1.3332,2.61E+16
160.3369,31.62405,1.3332,2.61E+16
169.3167,49.65628,1.3332,2.77E+16
166.8005,43.70526,1.3332,2.80E+16
163.4035,38.10807,1.3332,2.79E+16
153.5561,31.40772,1.3332,2.96E+16
150.5886,22.4859,1.3332,2.36E+16
147.0392,15.41696,1.3332,1.77E+16
143.5981,10.97722,1.3332,1.35E+16
140.2287,6.941839,1.3332,9.14E+15
134.5396,4.525465,1.3332,6.54E+15
133.5714,2.996904,1.3332,4.47E+15
184.2921,101.1679,1.3332,4.11E+15
182.609,103.3074,1.3332,3.09E+15
176.8495,104.9664,1.3332,2.51E+15
180.5397,83.53831,1.3332,1.42E+16
177.7105,75.03702,1.3332,1.91E+16
173.3074,69.0669,1.3332,2.35E+16
170.0165,64.20028,1.3332,2.67E+16
180.3567,96.96759,1.3332,7.10E+15
177.0723,90.89762,1.3332,1.15E+16
164.9237,54.107,1.3332,3.10E+16
166.9068,59.19294,1.3332,2.95E+16
156.576,37.94594,1.3332,3.19E+16
162.5082,48.57623,1.3332,3.19E+16
159.7098,43.4532,1.3332,3.24E+16
159.8517,52.91697,1.3332,3.43E+16
149.9235,37.76189,1.3332,3.59E+16
146.654,31.15765,1.3332,3.31E+16
143.5289,22.10295,1.3332,2.61E+16
140.237,15.25033,1.3332,1.94E+16
136.8842,10.29127,1.3332,1.40E+16
133.5583,6.797495,1.3332,9.81E+15
127.6376,4.519882,1.3332,7.08E+15
126.8929,2.997789,1.3332,4.81E+15
176.845,101.4998,1.3332,4.83E+15
176.0316,103.4223,1.3332,3.63E+15
170.1631,104.9634,1.3332,2.95E+15
174.0118,83.93244,1.3332,1.66E+16
170.5743,75.00066,1.3332,2.28E+16
166.8259,69.34182,1.3332,2.73E+16
163.3393,63.96294,1.3332,3.11E+16
173.5946,97.89357,1.3332,7.83E+15
170.526,92.06286,1.3332,1.27E+16
159.962,58.22481,1.3332,3.43E+16
152.8699,43.18104,1.3332,3.67E+16
155.852,49.13467,1.3332,3.66E+16
155.9899,54.48597,1.3332,3.71E+16
146.3304,42.81755,1.3332,4.09E+16
143.4773,37.61828,1.3332,3.98E+16
140.4791,31.16787,1.3332,3.64E+16
137.1097,22.31323,1.3332,2.89E+16
133.5869,15.21518,1.3332,2.13E+16
130.215,10.13347,1.3332,1.51E+16
126.883,6.789993,1.3332,1.06E+16
121.0813,4.561276,1.3332,7.68E+15
120.2143,2.998958,1.3332,5.16E+15
170.3354,100.9175,1.3332,6.12E+15
169.4757,103.3488,1.3332,4.31E+15
163.4438,104.9635,1.3332,3.44E+15
167.5749,84.64678,1.3332,1.89E+16
163.5393,76.49298,1.3332,2.59E+16
160.12,69.33668,1.3332,3.14E+16
156.7799,63.9802,1.3332,3.55E+16
167.0496,97.06718,1.3332,9.78E+15
164.0867,92.40172,1.3332,1.44E+16
153.6758,58.85034,1.3332,3.86E+16
148.827,47.97637,1.3332,4.12E+16
150.6078,53.30271,1.3332,4.09E+16
143.353,46.7495,1.3332,4.46E+16
140.4459,42.65775,1.3332,4.48E+16
137.1289,37.62083,1.3332,4.38E+16
133.6492,31.20193,1.3332,4.02E+16
114.4117,4.5378,1.3332,8.17E+15
113.5357,3.000111,1.3332,5.49E+15
130.5492,22.12032,1.3332,3.13E+16
126.9209,15.06902,1.3332,2.30E+16
123.5368,10.21591,1.3332,1.64E+16
120.205,6.868007,1.3332,1.16E+16
163.5836,100.9527,1.3332,7.09E+15
162.6273,103.3417,1.3332,5.02E+15
156.697,104.9641,1.3332,3.96E+15
160.2631,85.8852,1.3332,2.11E+16
157.1172,76.30832,1.3332,2.96E+16
153.4088,69.42904,1.3332,3.57E+16
150.1724,64.0728,1.3332,4.00E+16
160.2057,97.40166,1.3332,1.10E+16
156.809,92.28269,1.3332,1.68E+16
146.818,58.58959,1.3332,4.36E+16
143.4493,52.63274,1.3332,4.61E+16
138.1091,48.23488,1.3332,4.89E+16
134.2764,42.90906,1.3332,4.92E+16
130.6491,37.69823,1.3332,4.79E+16
127.3804,31.20566,1.3332,4.36E+16
107.8399,4.526613,1.3332,8.64E+15
106.8571,3.001047,1.3332,5.82E+15
113.5282,6.79729,1.3332,1.22E+16
123.5375,22.39048,1.3332,3.45E+16
120.2293,15.5066,1.3332,2.54E+16
116.868,10.19059,1.3332,1.76E+16
156.7875,100.9074,1.3332,8.19E+15
155.7317,103.3301,1.3332,5.78E+15
149.928,104.9646,1.3332,4.48E+15
153.6834,84.78308,1.3332,2.50E+16
150.0873,76.35071,1.3332,3.37E+16
146.6113,69.4622,1.3332,4.03E+16
143.2288,64.04963,1.3332,4.50E+16
153.39,97.42438,1.3332,1.25E+16
149.9999,92.37092,1.3332,1.90E+16
139.7731,58.62681,1.3332,4.88E+16
136.1502,53.61672,1.3332,5.15E+16
131.6359,48.26146,1.3332,5.35E+16
127.7145,42.98368,1.3332,5.36E+16
124.0243,37.76116,1.3332,5.21E+16
120.5277,31.11763,1.3332,4.71E+16
100.9356,4.518488,1.3332,9.09E+15
100.1786,3.001693,1.3332,6.10E+15
106.8475,6.795263,1.3332,1.30E+16
110.1857,10.12006,1.3332,1.86E+16
117.2548,22.04711,1.3332,3.65E+16
113.5753,15.09043,1.3332,2.66E+16
149.9799,100.9289,1.3332,9.25E+15
149.0733,103.3403,1.3332,6.51E+15
143.1418,104.965,1.3332,5.02E+15
146.7297,85.55235,1.3332,2.74E+16
143.1133,76.27756,1.3332,3.79E+16
139.7336,69.47124,1.3332,4.49E+16
136.2547,64.09051,1.3332,5.00E+16
146.5737,97.45607,1.3332,1.41E+16
143.154,92.32345,1.3332,2.13E+16
132.6346,58.80598,1.3332,5.40E+16
128.7638,53.56054,1.3332,5.69E+16
124.8084,48.2814,1.3332,5.84E+16
121.0011,43.03583,1.3332,5.81E+16
117.3256,37.816,1.3332,5.61E+16
114.1007,31.15122,1.3332,5.05E+16
94.35358,4.460354,1.3332,9.40E+15
93.5,3.002092,1.3332,6.39E+15
100.1622,6.776047,1.3332,1.36E+16
103.501,10.10177,1.3332,1.97E+16
106.8807,15.04521,1.3332,2.82E+16
110.4782,22.15583,1.3332,3.91E+16
143.1679,100.9404,1.3332,1.03E+16
142.3858,103.3508,1.3332,7.25E+15
136.3431,104.9651,1.3332,5.57E+15
139.4179,85.53105,1.3332,3.08E+16
136.0714,76.20606,1.3332,4.23E+16
132.8383,69.48504,1.3332,4.96E+16
129.276,64.13469,1.3332,5.49E+16
139.7574,97.50119,1.3332,1.56E+16
136.3299,92.55382,1.3332,2.33E+16
125.5764,58.84012,1.3332,5.91E+16
121.784,53.5757,1.3332,6.19E+16
117.9825,48.31233,1.3332,6.30E+16
114.2599,43.0907,1.3332,6.24E+16
87.68879,4.505743,1.3332,9.87E+15
86.82143,3.002389,1.3332,6.62E+15
110.6013,37.86086,1.3332,6.00E+16
107.1935,31.26941,1.3332,5.40E+16
93.48067,6.75229,1.3332,1.42E+16
96.82119,10.16141,1.3332,2.08E+16
100.1744,15.00669,1.3332,2.97E+16
103.7921,22.22048,1.3332,4.16E+16
136.3536,101.0064,1.3332,1.14E+16
135.4704,103.3677,1.3332,8.02E+15
129.5359,104.9652,1.3332,6.11E+15
132.5648,85.71712,1.3332,3.38E+16
129.4267,76.35139,1.3332,4.61E+16
125.946,69.49456,1.3332,5.41E+16
122.3433,64.15496,1.3332,5.97E+16
132.9326,97.6083,1.3332,1.71E+16
129.4876,92.72705,1.3332,2.53E+16
118.6503,58.86488,1.3332,6.39E+16
114.9198,53.60503,1.3332,6.66E+16
81.12268,4.53054,1.3332,1.03E+16
80.14286,3.002833,1.3332,6.86E+15
111.1985,48.35827,1.3332,6.75E+16
107.5064,43.13148,1.3332,6.65E+16
86.80665,6.874729,1.3332,1.51E+16
103.8716,37.89023,1.3332,6.37E+16
100.1799,31.22428,1.3332,5.71E+16
90.12345,10.27458,1.3332,2.20E+16
93.45887,15.329,1.3332,3.18E+16
96.9795,21.96964,1.3332,4.34E+16
74.21138,4.495743,1.3332,1.05E+16
73.46429,3.003755,1.3332,7.05E+15
129.538,101.0336,1.3332,1.24E+16
128.5294,103.3795,1.3332,8.79E+15
122.7233,104.9653,1.3332,6.64E+15
125.8637,85.48156,1.3332,3.71E+16
122.5312,76.08896,1.3332,5.04E+16
119.0746,69.50233,1.3332,5.86E+16
115.4654,64.17286,1.3332,6.43E+16
126.1234,97.69641,1.3332,1.85E+16
122.6674,92.70121,1.3332,2.75E+16
111.7951,58.89098,1.3332,6.85E+16
108.106,53.63381,1.3332,7.10E+16
