r,z,pressure,ne
80.12840584,6.804246336,2.6664,4.53E+16
120.2050443,6.868007232,2.6664,3.60E+16
86.80665385,6.87472935,2.6664,4.46E+16
153.3244123,6.88631012,2.6664,2.40E+16
60.11246595,6.908363248,2.6664,4.83E+16
140.2286873,6.941839266,2.6664,2.93E+16
66.7800854,6.947241476,2.6664,4.80E+16
194.0845812,6.949139628,2.6664,1.06E+16
146.8611387,7.090621868,2.6664,2.73E+16
0,7.493953556,2.6664,5.35E+16
202.9822036,7.657434466,2.6664,9.84E+15
159.4700415,7.772474558,2.6664,2.45E+16
10.08818968,7.991418363,2.6664,5.78E+16
184.9921664,8.805106909,2.6664,1.51E+16
166.3578055,8.907009889,2.6664,2.46E+16
219.3183569,9.31452263,2.6664,3.40E+15
43.56078369,9.685289855,2.6664,6.95E+16
179.5184529,9.704873516,2.6664,1.97E+16
5.189005082,9.720912242,2.6664,7.02E+16
23.81730986,9.831308632,2.6664,7.13E+16
210.2897586,9.850513133,2.6664,8.08E+15
173.0310515,10.03374547,2.6664,2.38E+16
103.5010361,10.10177156,2.6664,6.00E+16
110.185682,10.12005548,2.6664,5.75E+16
130.2149534,10.13346821,2.6664,4.80E+16
76.77131271,10.14316951,2.6664,6.82E+16
96.82118545,10.16140608,2.6664,6.28E+16
36.68507861,10.17813998,2.6664,7.33E+16
116.867998,10.19058928,2.6664,5.49E+16
123.5367569,10.21591065,2.6664,5.18E+16
83.45395153,10.21710069,2.6664,6.71E+16
90.12344821,10.2745842,2.6664,6.56E+16
136.8842312,10.29127204,2.6664,4.51E+16
70.09503997,10.30191607,2.6664,7.06E+16
192.028677,10.31525505,2.6664,1.52E+16
16.78549587,10.33068056,2.6664,7.49E+16
63.44406218,10.3703127,2.6664,7.21E+16
30.18093379,10.37415812,2.6664,7.48E+16
50.22142958,10.52013789,2.6664,7.46E+16
56.80361791,10.84329341,2.6664,7.61E+16
150.3393608,10.91192168,2.6664,3.97E+16
198.889153,10.95567855,2.6664,1.37E+16
143.5980581,10.97721712,2.6664,4.40E+16
156.9346436,11.33793662,2.6664,3.70E+16
0,11.69169824,2.6664,8.33E+16
163.3979754,12.70262701,2.6664,3.67E+16
215.9510513,12.70724955,2.6664,5.90E+15
205.5301131,12.8679669,2.6664,1.20E+16
10.75704013,12.94774001,2.6664,9.33E+16
222.0338091,13.23043714,2.6664,2.29E+15
224.7290061,13.23043714,2.6664,6.55E+14
225,13.23043714,2.6664,5.10E+14
223.8184666,13.23043714,2.6664,1.19E+15
224.3496146,13.23043714,2.6664,8.77E+14
223.0748593,13.23043714,2.6664,1.65E+15
220.0906631,14.09705039,2.6664,3.62E+15
21.02780909,14.2985228,2.6664,1.02E+17
170.0308352,14.82933486,2.6664,3.73E+16
100.1744233,15.00668868,2.6664,9.04E+16
106.880694,15.04521222,2.6664,8.68E+16
126.9209386,15.06901998,2.6664,7.33E+16
113.5753177,15.09043478,2.6664,8.29E+16
73.4649091,15.13319641,2.6664,1.02E+17
183.0290857,15.14054676,2.6664,2.76E+16
80.10454612,15.15116751,2.6664,1.00E+17
133.5869438,15.21518438,2.6664,6.87E+16
86.78878199,15.24848128,2.6664,9.81E+16
140.2370011,15.25032759,2.6664,6.35E+16
40.08724163,15.29404318,2.6664,1.09E+17
93.45887366,15.32900062,2.6664,9.56E+16
147.0392467,15.4169636,2.6664,5.84E+16
66.7660673,15.46432013,2.6664,1.06E+17
47.0513781,15.49051462,2.6664,1.09E+17
120.2293224,15.50660181,2.6664,8.03E+16
16.20132093,15.6156802,2.6664,1.12E+17
188.8830168,15.97091632,2.6664,2.49E+16
175.9729965,16.12705236,2.6664,3.52E+16
5.365570751,16.15244298,2.6664,1.15E+17
60.06415975,16.28352333,2.6664,1.13E+17
211.3349807,16.30487952,2.6664,1.01E+16
34.02684296,16.33874721,2.6664,1.16E+17
153.8040551,16.39078918,2.6664,5.56E+16
194.8060768,16.54951299,2.6664,2.15E+16
200.3545979,16.66285836,2.6664,1.78E+16
27.13632652,16.9245958,2.6664,1.21E+17
53.57860729,16.92985094,2.6664,1.18E+17
160.3487553,17.44059579,2.6664,5.27E+16
166.9343755,18.8649027,2.6664,5.00E+16
0,19.06657191,2.6664,1.34E+17
206.0362767,19.57426766,2.6664,1.57E+16
217.1411437,19.63491253,2.6664,6.74E+15
10.82693674,19.64261275,2.6664,1.38E+17
222.0359639,19.84565571,2.6664,2.83E+15
224.729203,19.84565571,2.6664,7.18E+14
225,19.84565571,2.6664,5.36E+14
223.8193249,19.84565571,2.6664,1.41E+15
224.3500871,19.84565571,2.6664,1.00E+15
223.0762578,19.84565571,2.6664,2.00E+15
21.45718387,20.36363595,2.6664,1.43E+17
220.2096053,20.5475225,2.6664,4.40E+15
173.5616967,21.48035493,2.6664,4.87E+16
70.39817555,21.96555353,2.6664,1.46E+17
96.97949878,21.96963733,2.6664,1.32E+17
32.03383482,22.04578619,2.6664,1.53E+17
117.2547528,22.04711349,2.6664,1.15E+17
143.5288702,22.10294694,2.6664,8.61E+16
90.1220312,22.11685168,2.6664,1.37E+17
130.5492458,22.12031656,2.6664,1.01E+17
110.4781732,22.15583368,2.6664,1.22E+17
63.09483866,22.1783002,2.6664,1.50E+17
77.05729929,22.19542994,2.6664,1.45E+17
103.7920592,22.2204789,2.6664,1.28E+17
